Month,#Passengers,anomaly,cluster
1949-01,-1.4077788408280638,1,2
1949-02,-1.3575902326797062,1,2
1949-03,-1.2404834803335385,1,2
1949-04,-1.2655777844077172,1,2
1949-05,-1.3324959286055273,1,2
1949-06,-1.2153891762593596,1,2
1949-07,-1.1066471919379182,1,2
1949-08,-1.1066471919379182,1,2
1949-09,-1.2070244082346333,1,2
1949-10,-1.34922546465498,1,2
1949-11,-1.474696985025874,-1,2
1949-12,-1.3575902326797062,1,2
1950-01,-1.3826845367538851,1,2
1950-02,-1.290672088481896,1,2
1950-03,-1.165200568111002,1,2
1950-04,-1.2153891762593596,1,2
1950-05,-1.2990368565066224,1,2
1950-06,-1.0982824239131919,1,2
1950-07,-0.92262229539394,1,2
1950-08,-0.92262229539394,1,2
1950-09,-1.0229995116906554,1,2
1950-10,-1.2321187123088122,1,2
1950-11,-1.3910493047786114,1,2
1950-12,-1.1735653361357283,1,2
1951-01,-1.1317414960120968,1,2
1951-02,-1.0899176558884656,1,2
1951-03,-0.8557041511961299,1,2
1951-04,-0.981175671567024,1,2
1951-05,-0.9058927593444875,1,2
1951-06,-0.8557041511961299,1,2
1951-07,-0.6800440226768781,1,2
1951-08,-0.6800440226768781,1,2
1951-09,-0.8055155430477722,1,2
1951-10,-0.9895404395917502,1,2
1951-11,-1.1233767279873705,1,2
1951-12,-0.9560813674928451,1,2
1952-01,-0.9142575273692137,1,2
1952-02,-0.8389746151466774,1,2
1952-03,-0.7302326308252358,1,2
1952-04,-0.8306098471219511,1,2
1952-05,-0.8138803110724985,1,2
1952-06,-0.5211134302070789,1,2
1952-07,-0.42073621391036364,1,2
1952-08,-0.3203589976136484,1,2
1952-09,-0.5963963424296154,1,2
1952-10,-0.7469621668746883,1,2
1952-11,-0.9058927593444875,1,2
1952-12,-0.7218678628005095,1,2
1953-01,-0.7051383267510569,1,2
1953-02,-0.7051383267510569,1,2
1953-03,-0.370547605762006,1,2
1953-04,-0.3789123737867323,1,2
1953-05,-0.42910098193508994,1,2
1953-06,-0.3119942295889221,1,2
1953-07,-0.13633410106967037,1,0
1953-08,-0.06941595687186018,1,0
1953-09,-0.3621828377372798,1,2
1953-10,-0.5796668063801629,1,2
1953-11,-0.8389746151466774,1,2
1953-12,-0.6633144866274255,1,2
1954-01,-0.6382201825532468,1,2
1954-02,-0.7720564709488671,1,2
1954-03,-0.3789123737867323,1,2
1954-04,-0.4458305179845425,1,2
1954-05,-0.38727714181145856,1,2
1954-06,-0.13633410106967037,1,0
1954-07,0.18152708386992802,1,0
1954-08,0.10624417164739156,1,0
1954-09,-0.17815794119330172,1,0
1954-10,-0.42910098193508994,1,2
1954-11,-0.646584950577973,1,2
1954-12,-0.42910098193508994,1,2
1955-01,-0.3203589976136484,1,2
1955-02,-0.39564190983618486,1,2
1955-03,-0.11123979699549155,1,0
1955-04,-0.094510260946039,1,0
1955-05,-0.08614549292131272,1,0
1955-06,0.29026906819136955,1,0
1955-07,0.700142701402957,1,0
1955-08,0.5579416449826103,1,0
1955-09,0.26517476411719076,1,0
1955-10,-0.05268642082240763,1,0
1955-11,-0.3621828377372798,1,2
1955-12,-0.01922734872350254,1,0
1956-01,0.030961259424855097,1,0
1956-02,-0.027592116748228816,1,0
1956-03,0.3069986042408221,1,0
1956-04,0.273539532141917,1,0
1956-05,0.3153633722655484,1,0
1956-06,0.7837903816502196,1,0
1956-07,1.1100163346145444,1,1
1956-08,1.0430981904167342,1,1
1956-09,0.6248597891804205,1,0
1956-10,0.2149861559688331,1,0
1956-11,-0.07778072489658645,1,0
1956-12,0.2149861559688331,1,0
1957-01,0.29026906819136955,1,0
1957-02,0.17316231584520175,1,0
1957-03,0.6332245572051468,1,0
1957-04,0.5663064130073366,1,0
1957-05,0.6248597891804205,1,0
1957-06,1.1852992468370809,1,1
1957-07,1.5449842719003106,1,1
1957-08,1.561713807949763,1,1
1957-09,1.034733422392008,1,1
1957-10,0.5579416449826103,1,0
1957-11,0.20662138794410684,1,0
1957-12,0.46592919671062133,1,0
1958-01,0.4993882688095264,1,0
1958-02,0.3153633722655484,1,0
1958-03,0.6834131653535044,1,0
1958-04,0.5663064130073366,1,0
1958-05,0.6917779333782307,1,0
1958-06,1.2940412311585223,1,1
1958-07,1.7624682405431937,-1,1
1958-08,1.8795749928893615,1,1
1958-09,1.034733422392008,1,1
1958-10,0.6583188612793256,1,0
1958-11,0.2484452280677382,1,0
1958-12,0.4742939647353476,1,0
1959-01,0.6666836293040519,1,0
1959-02,0.516117804858979,1,0
1959-03,1.0514629584414605,1,1
1959-04,0.9678152781941977,1,1
1959-05,1.1685697107876283,1,1
1959-06,1.6035376480733945,1,1
1959-07,2.239260017952591,-1,1
1959-08,2.33127246622458,-1,1
1959-09,1.528254735850858,1,1
1959-10,1.0598277264661866,1,1
1959-11,0.6834131653535044,1,0
1959-12,1.0430981904167342,1,1
1960-01,1.1434754067134494,1,1
1960-02,0.9259914380705664,1,1
1960-03,1.160204942762902,1,1
1960-04,1.5115251998014054,1,1
1960-05,1.6035376480733945,1,1
1960-06,2.1305180336311498,-1,1
1960-07,2.8582528517823356,-1,1
1960-08,2.7244165633867152,-1,1
1960-09,1.9046692969635404,-1,1
1960-10,1.5115251998014054,1,1
1960-11,0.9176266700458401,1,1
1960-12,1.2689469270843436,1,1
